日期,Close,Open,High,Low,Volume,rate
2018年11月29日,156.28,158.08,159,153.54,20.53M,-1.92%
2018年11月28日,159.34,159.01,159.8,155.26,20.77M,1.84%
2018年11月27日,156.46,154.64,157.94,153.58,17.91M,0.29%
2018年11月26日,156.01,153.21,156.53,152.37,16.15M,3.78%
2018年11月23日,150.33,147.3,151.17,147,7.44M,0.62%
2018年11月21日,149.41,149.06,151.48,148.65,14.72M,2.35%
2018年11月20日,145.98,144.48,148.07,142.82,19.47M,-2.37%
2018年11月19日,149.53,152.02,153.21,148.77,18.09M,-2.97%
2018年11月16日,154.1,155.04,155.8,152.14,20.04M,-1.36%
2018年11月15日,156.22,152.9,157.4,150.89,30.08M,3.84%
2018年11月14日,150.44,150.21,152.15,148.44,21.79M,2.35%
2018年11月13日,146.98,144.83,149.94,143.91,19.58M,2.91%
2018年11月12日,142.82,145.01,146.41,139.97,16.52M,-1.40%
2018年11月9日,144.85,145.57,145.72,142.48,16.22M,-2.78%
2018年11月8日,148.99,150.99,151.88,146.69,17.07M,-2.30%
2018年11月7日,152.5,150.77,152.8,148.94,17.88M,3.43%
2018年11月6日,147.44,145.87,149.96,145.32,17.85M,1.94%
2018年11月5日,144.64,146.22,149.37,144.23,16.20M,-2.00%
2018年11月2日,147.59,152.56,154.36,146.28,45.99M,-2.42%
2018年11月1日,151.25,144.98,152.32,138.62,47.04M,6.30%
2018年10月31日,142.28,141.35,142.65,139.14,23.65M,4.36%
2018年10月30日,136.33,132.28,136.4,130.06,25.23M,2.21%
2018年10月29日,133.38,142.42,144,131.36,35.12M,-6.64%
2018年10月26日,142.87,139,145.83,138.55,19.48M,-1.20%
2018年10月25日,144.6,142.5,144.91,141.01,13.66M,3.57%
2018年10月24日,139.61,145.18,146.69,139.34,18.51M,-4.80%
2018年10月23日,146.65,143.22,147.51,142.62,19.95M,-1.44%
2018年10月22日,148.8,148.99,150.2,146.1,22.59M,4.11%
2018年10月19日,142.93,145.34,146.77,142.61,14.86M,0.64%
2018年10月18日,142.02,145.85,146.28,140.8,20.62M,-4.13%
2018年10月17日,148.14,150.68,150.68,146.37,16.87M,-0.98%
2018年10月16日,149.6,145.71,149.76,145.26,18.37M,3.77%
2018年10月15日,144.16,144.77,145.69,142.3,18.57M,-2.13%
2018年10月12日,147.29,148.62,149,144.52,30.76M,3.80%
2018年10月11日,141.9,135.53,142.91,135.14,43.21M,2.61%
2018年10月10日,138.29,142.5,144,137.92,55.83M,-5.89%
2018年10月9日,146.94,147.97,150.59,146.47,31.07M,-2.78%
2018年10月8日,151.14,150.2,152.64,148.34,25.06M,-2.26%
2018年10月5日,154.63,156.14,157.12,152.25,20.27M,-0.96%
2018年10月4日,156.13,160.06,160.08,153.87,32.18M,-3.84%
2018年10月3日,162.37,163.15,164.54,161.93,13.12M,1.34%
2018年10月2日,160.23,159.79,161.03,158.27,14.73M,-1.09%
2018年10月1日,162,165.92,165.95,161.56,10.62M,-1.68%
2018年9月28日,164.76,164.9,165.66,163.3,10.49M,-0.94%
2018年9月27日,166.32,166.39,167.05,164.92,12.69M,0.56%
2018年9月26日,165.4,165.52,167.39,164.87,13.59M,0.70%
2018年9月25日,164.25,164.05,165.44,162.83,9.59M,0.67%
2018年9月24日,163.16,162.81,163.4,160.1,13.12M,-0.89%
2018年9月21日,164.63,169.46,169.84,164.5,22.08M,-0.75%
2018年9月20日,165.88,166.89,167.7,164.72,22.82M,2.00%
2018年9月19日,162.63,158.82,163.13,158.82,23.03M,3.82%
2018年9月18日,156.65,156.88,159.4,155.52,27.24M,-1.41%
2018年9月17日,158.89,161.5,161.65,158.29,20.42M,-3.55%
2018年9月14日,164.74,167.88,168,163.38,23.42M,-0.48%
2018年9月13日,165.53,165.41,167.22,164.01,25.70M,2.52%
2018年9月12日,161.46,158.2,162.82,156.18,32.49M,2.54%
2018年9月11日,157.46,153.18,158.45,152.85,25.91M,0.70%
2018年9月10日,156.36,158.59,160.72,155,39.09M,-3.70%
2018年9月7日,162.37,159.95,164.61,159.51,19.45M,1.56%
2018年9月6日,159.87,164.16,166.48,158.67,33.05M,-2.65%
2018年9月5日,164.23,167.48,168.28,162.03,35.69M,-3.64%
2018年9月4日,170.44,173.5,173.95,169,23.45M,-2.61%
2018年8月31日,175.01,173.11,176.68,172.76,13.73M,0.23%
2018年8月30日,174.6,177.33,178.1,174.12,17.09M,-2.18%
2018年8月29日,178.5,179.35,179.66,176.83,11.91M,0.17%
2018年8月28日,178.19,182.15,182.38,177.5,15.32M,-1.36%
2018年8月27日,180.65,177.1,180.88,176.22,23.53M,3.68%
2018年8月24日,174.23,175,176.37,172.45,30.44M,1.16%
2018年8月23日,172.23,184.97,186.5,171.91,78.84M,-3.16%
2018年8月22日,177.85,178.15,179.74,175.5,27.14M,-0.04%
2018年8月21日,177.92,177.63,179.67,176.97,20.34M,0.92%
2018年8月20日,176.29,175.22,178.86,174.36,25.90M,2.03%
2018年8月17日,172.78,172.52,174.2,168.38,24.70M,0.46%
2018年8月16日,171.99,172.33,175.7,171.57,34.26M,1.27%
2018年8月15日,169.83,167.11,169.85,165.39,41.28M,-1.56%
2018年8月14日,172.53,175.14,176.2,170.77,38.51M,-2.90%
2018年8月13日,177.68,179.65,180.65,177,14.68M,-1.29%
2018年8月10日,180.01,175.57,180.45,174.75,22.05M,1.59%
2018年8月9日,177.19,179.31,180.63,176.76,35.22M,-0.19%
2018年8月8日,177.52,180,180.18,176.55,21.15M,-1.33%
2018年8月7日,179.92,180.29,183,179.74,20.62M,0.73%
2018年8月6日,178.62,180.7,180.86,177.49,35.42M,-1.23%
2018年8月3日,180.84,184.15,184.5,180.08,18.19M,-0.96%
2018年8月2日,182.6,181.54,182.9,179.78,20.98M,-1.44%
2018年8月1日,185.27,186,189.06,183.96,14.37M,-1.05%
2018年7月31日,187.23,186.4,188.95,183.99,17.02M,1.30%
2018年7月30日,184.82,190.22,190.59,182.06,19.91M,-2.43%
2018年7月27日,189.42,196.1,196.27,186.93,19.92M,-2.45%
2018年7月26日,194.18,193.21,196.12,192.62,13.89M,-1.92%
2018年7月25日,197.98,190.61,198.35,190.14,20.74M,4.75%
2018年7月24日,189,190.19,193.07,188.35,18.41M,1.05%
2018年7月23日,187.04,187.18,187.81,184.8,11.00M,-0.11%
2018年7月20日,187.25,189.49,189.5,186.61,12.81M,-0.05%
2018年7月19日,187.34,188.68,189.68,186.87,13.37M,-1.81%
2018年7月18日,190.79,192.45,193.23,189.91,10.80M,-0.97%
2018年7月17日,192.66,188.65,192.95,187.9,13.27M,1.21%
2018年7月16日,190.35,189.57,191.37,189.15,12.21M,0.16%
2018年7月13日,190.04,191.61,192.12,189.3,12.56M,-0.07%
2018年7月12日,190.17,190.77,192.58,189.79,17.44M,1.47%
2018年7月11日,187.42,188.6,190.05,187.42,15.95M,-2.66%
2018年7月10日,192.55,192.89,195.13,191.48,12.61M,-0.10%
2018年7月9日,192.75,194.45,194.69,190.87,15.47M,0.25%
2018年7月6日,192.27,186.01,192.49,185.54,17.04M,2.88%
2018年7月5日,186.88,187.17,187.44,182.9,18.41M,1.15%
2018年7月3日,184.75,187.88,188.5,184.36,11.67M,-0.86%
2018年7月2日,186.36,181.66,186.36,181.06,17.33M,0.45%
2018年6月29日,185.53,185.36,188.97,184.26,26.02M,-1.51%
2018年6月28日,188.38,183.2,188.96,182.04,19.55M,1.82%
2018年6月27日,185.02,193.46,193.6,184.89,23.89M,-3.34%
2018年6月26日,191.42,193.34,193.66,188.42,20.74M,0.09%
2018年6月25日,191.25,197.85,198.1,187.86,32.75M,-5.33%
2018年6月22日,202.01,203.38,203.8,200.25,9.62M,-0.10%
2018年6月21日,202.21,205.84,206,201.04,13.96M,-1.95%
2018年6月20日,206.23,205.05,207.23,205.02,15.56M,0.88%
2018年6月19日,204.43,203.53,204.51,199.5,24.48M,-1.98%
2018年6月18日,208.57,205.16,208.6,203.88,14.65M,0.27%
2018年6月15日,208,207.49,210.08,206.01,28.67M,-1.36%
2018年6月14日,210.86,207.72,211.12,207.51,18.84M,2.05%
2018年6月13日,206.62,209.44,209.65,206.6,13.84M,-1.18%
2018年6月12日,209.08,206.95,209.8,206.9,15.91M,1.64%
2018年6月11日,205.7,206.5,207.6,205.01,12.06M,0.31%
2018年6月8日,205.07,201.11,206.23,200.43,17.53M,0.71%
2018年6月7日,203.62,207.46,209,200.88,26.75M,-2.25%
2018年6月6日,208.3,209.86,210.46,207.29,13.80M,-0.03%
2018年6月5日,208.37,209.95,211.7,207.13,17.79M,-0.28%
2018年6月4日,208.95,205.12,209.75,204.73,19.36M,2.26%
2018年6月1日,204.34,199.5,204.99,199.45,23.13M,3.20%
2018年5月31日,198.01,198,199.48,196.85,17.98M,0.02%
2018年5月30日,197.98,199.7,200.54,197.5,13.93M,-0.01%
2018年5月29日,198,197.94,202.28,197,18.77M,-0.60%
2018年5月25日,199.2,197.57,201.5,197.21,21.27M,0.93%
2018年5月24日,197.37,198.12,199.72,195.7,18.53M,0.29%
2018年5月23日,196.8,193.88,196.9,192.8,12.81M,0.47%
2018年5月22日,195.87,198.3,198.63,195.7,9.70M,-0.90%
2018年5月21日,197.64,197.8,199.79,196.4,13.83M,1.35%
2018年5月18日,195,196.43,197.78,194.72,14.24M,-0.52%
2018年5月17日,196.02,196,198.43,195.57,13.47M,-1.05%
2018年5月16日,198.11,196.75,199.75,196.3,12.89M,0.76%
2018年5月15日,196.61,195.23,196.78,193.86,12.69M,-1.02%
2018年5月14日,198.64,195.9,200,195.87,17.63M,2.20%
2018年5月11日,194.36,196.4,196.46,193.38,12.74M,-0.82%
2018年5月10日,195.96,196.3,199.77,195.16,21.30M,0.27%
2018年5月9日,195.43,195.84,197.38,194.5,13.78M,-0.45%
2018年5月8日,196.31,194.2,197.34,193.01,21.86M,0.49%
2018年5月7日,195.35,190.41,196.6,190.3,29.86M,3.42%
2018年5月4日,188.89,180.4,190.6,178.62,57.79M,3.53%
2018年5月3日,182.45,183.5,183.59,175.77,26.26M,0.55%
2018年5月2日,181.45,180.8,184.26,180.11,20.68M,1.09%
2018年5月1日,179.5,177.58,180.32,177.44,10.79M,0.54%
2018年4月30日,178.54,178.09,180.04,177.05,14.65M,0.78%
2018年4月27日,177.16,177.11,178.2,174.01,15.06M,1.87%
2018年4月26日,173.9,173.25,174.36,172.05,13.40M,2.16%
2018年4月25日,170.22,170.52,171.3,166.64,17.13M,-1.66%
2018年4月24日,173.09,177.63,178,170.68,14.57M,-1.41%
2018年4月23日,175.57,178.63,179.32,174.71,12.03M,-1.98%
2018年4月20日,179.11,179.36,181.39,177.53,14.47M,-1.26%
2018年4月19日,181.39,183.26,183.63,179.52,11.99M,-0.71%
2018年4月18日,182.68,178.9,182.88,177.64,16.97M,2.23%
2018年4月17日,178.7,174.83,179.34,174.83,16.29M,2.29%
2018年4月16日,174.7,172.01,174.79,171.01,9.88M,1.55%
2018年4月13日,172.04,176.72,176.8,171.07,13.53M,-2.21%
2018年4月12日,175.92,175.93,177.9,174.56,11.13M,0.32%
2018年4月11日,175.36,176.48,178.16,174.74,10.17M,-0.98%
2018年4月10日,177.1,175.1,177.88,173.85,20.60M,4.26%
2018年4月9日,169.87,169.75,172.72,168.61,14.72M,1.40%
2018年4月6日,167.52,169.84,172.27,166.4,18.21M,-2.93%
2018年4月5日,172.57,175.48,176.56,171.17,18.25M,0.29%
2018年4月4日,172.07,166.88,172.41,166.13,24.57M,-1.49%
2018年4月3日,174.67,179.26,179.58,173,19.98M,-1.66%
2018年4月2日,177.61,182.81,183.51,175.75,16.03M,-3.23%
2018年3月29日,183.54,180.88,185.13,178.62,16.38M,2.59%
2018年3月28日,178.91,180.73,183.44,177.57,20.08M,-1.64%
2018年3月27日,181.89,192.24,192.25,180.66,16.63M,-4.52%
2018年3月26日,190.5,187.89,190.62,184.32,16.76M,5.13%
2018年3月23日,181.2,186.85,188.48,180.4,18.71M,-1.87%
2018年3月22日,184.65,190.75,192.39,184.6,25.36M,-5.45%
2018年3月21日,195.3,198.8,198.88,194.57,12.05M,-1.83%
2018年3月20日,198.95,194.95,199.21,194.54,11.95M,2.27%
2018年3月19日,194.53,198,198.43,192.8,19.68M,-2.87%
2018年3月16日,200.28,198.4,200.38,197.26,26.95M,0.61%
2018年3月15日,199.06,198.44,201.5,196.52,33.63M,3.38%
2018年3月14日,192.56,190.29,193.63,190.22,20.03M,2.20%
2018年3月13日,188.41,193.88,194.25,187.39,14.83M,-2.25%
2018年3月12日,192.74,192.3,194.4,190.9,17.83M,1.15%
2018年3月9日,190.55,189.64,190.7,188.01,14.21M,1.80%
2018年3月8日,187.18,189.05,190.23,186.57,14.33M,-0.99%
2018年3月7日,189.05,184.37,189.07,184.32,13.73M,0.90%
2018年3月6日,187.37,185.19,188.01,184.82,17.86M,3.18%
2018年3月5日,181.6,179.41,181.95,177.07,15.66M,1.02%
2018年3月2日,179.76,178.01,180.23,175.45,18.91M,-1.23%
2018年3月1日,181.99,186.18,187.48,180.05,17.29M,-2.23%
2018年2月28日,186.14,187.25,188.24,185,19.37M,-1.13%
2018年2月27日,188.26,192.59,193.57,187.21,23.22M,-3.05%
2018年2月26日,194.19,194.46,195.15,190.65,19.46M,0.47%
2018年2月23日,193.29,190.18,193.41,189.95,16.94M,2.41%
2018年2月22日,188.75,190.2,190.74,187.77,12.28M,-0.04%
2018年2月21日,188.82,189.37,193.17,188.46,22.07M,0.87%
2018年2月20日,187.19,183.67,188.83,183,14.85M,1.91%
2018年2月16日,183.68,186.75,188.27,183.54,16.11M,-2.01%
2018年2月15日,187.45,189.25,189.56,184.43,14.36M,0.37%
2018年2月14日,186.76,179.22,186.93,178.9,21.05M,4.19%
2018年2月13日,179.25,177.42,182.15,177,15.51M,1.02%
2018年2月12日,177.44,180.44,180.79,175.09,18.28M,0.44%
2018年2月9日,176.67,175.12,177.62,168.88,28.05M,1.71%
2018年2月8日,173.7,182.27,183.1,171.39,32.05M,-3.66%
2018年2月7日,180.3,183.5,186.83,180.3,19.67M,-2.63%
2018年2月6日,185.17,174.72,185.59,174.17,35.80M,2.57%
2018年2月5日,180.53,183.7,190.47,179.9,31.08M,-3.62%
2018年2月2日,187.31,194.79,195.68,186.8,32.23M,-2.55%
2018年2月1日,192.22,192.75,199.49,191.14,52.63M,-5.91%
2018年1月31日,204.29,202.82,206.2,202.8,26.98M,2.32%
2018年1月30日,199.66,198.68,202.54,196.49,23.38M,-1.65%
2018年1月29日,203.01,204.83,205.69,201.82,21.91M,-1.08%
2018年1月26日,205.22,200.33,205.23,199.21,23.77M,3.47%
2018年1月25日,198.33,196.34,199.59,194.1,23.42M,1.43%
2018年1月24日,195.53,194.71,198.86,192.4,34.50M,1.69%
2018年1月23日,192.28,185.28,192.4,183.54,31.31M,4.49%
2018年1月22日,184.02,184.97,185.04,181.68,16.02M,-0.02%
2018年1月19日,184.05,185.15,185.24,182.8,15.35M,-0.19%
2018年1月18日,184.4,184.28,185.84,182.69,14.19M,0.31%
2018年1月17日,183.83,183.3,184.8,179.32,21.35M,0.78%
2018年1月16日,182.4,190.4,191.74,181.75,27.43M,-2.87%
2018年1月12日,187.79,189.91,190.2,187.25,11.79M,-0.51%
2018年1月11日,188.75,189.73,190.43,188.1,12.40M,-0.55%
2018年1月10日,189.79,188.1,190.39,186.58,17.94M,-0.53%
2018年1月9日,190.8,191.13,192.49,188,19.50M,0.25%
2018年1月8日,190.33,190.46,191.66,189.07,16.23M,-0.19%
2018年1月5日,190.7,187.17,190.75,186.3,18.17M,2.69%
2018年1月4日,185.71,185.9,187.75,184.43,19.47M,0.93%
2018年1月3日,184,185.19,185.63,181.4,20.12M,0.19%
2018年1月2日,183.65,176.4,184.1,175.7,29.92M,6.51%
2017年12月29日,172.43,172.28,173.67,171.2,9.70M,0.08%
2017年12月28日,172.3,173.04,173.53,171.67,9.51M,-0.39%
2017年12月27日,172.97,172.29,173.87,171.73,10.15M,0.37%
2017年12月26日,172.33,174.55,175.15,171.73,12.91M,-2.25%
2017年12月22日,176.29,175.84,176.66,175.04,12.52M,0.55%
2017年12月21日,175.32,172.8,176.25,172.65,14.81M,1.55%
2017年12月20日,172.64,171.79,172.9,170.8,17.12M,0.79%
2017年12月19日,171.28,171.97,173,170.51,23.94M,-1.21%
2017年12月18日,173.37,174.6,174.7,172.37,17.02M,-0.10%
2017年12月15日,173.55,172.89,173.55,170,41.36M,1.05%
2017年12月14日,171.75,173.11,173.39,169.61,32.83M,-2.67%
2017年12月13日,176.47,175.19,177.7,174.3,18.65M,1.05%
2017年12月12日,174.64,178,178.16,173.77,22.66M,-2.59%
2017年12月11日,179.29,179.19,180.68,178.15,15.63M,0.94%
2017年12月8日,177.62,177.72,178.96,176.37,23.54M,1.81%
2017年12月7日,174.47,173.76,175.82,172.26,15.70M,1.07%
2017年12月6日,172.63,168.3,173.23,167.87,23.90M,2.17%
2017年12月5日,168.96,165.28,172.96,164.25,31.61M,-0.37%
2017年12月4日,169.58,177.2,177.58,168.26,35.90M,-2.88%
2017年12月1日,174.61,175.27,179.8,173.8,26.78M,-1.39%
