Open,High,Low,Close,Adj Close,Volume,rate,label
105.949997,107.660004,105.639999,105.980003,105.980003,8068600,0.0003,106.709999
105.639999,106.709999,105.129997,105.75,105.75,10205700,-0.0022,106.470001
106.459999,106.470001,103.690002,103.940002,103.940002,10221600,-0.0171,104.720001
104.239998,104.720001,102.519997,103.599998,103.599998,12303400,-0.0033,103.019997
102.760002,103.019997,99.900002,101.0,101.0,18337000,-0.025099999999999997,103.849998
101.25,103.849998,100.110001,103.32,103.32,15720400,0.023,104.739998
104.589996,104.739998,102.029999,102.129997,102.129997,11052200,-0.0115,105.339996
102.949997,105.339996,102.68,105.029999,105.029999,12942100,0.028399999999999998,105.300003
105.239998,105.300003,102.889999,103.019997,103.019997,10222200,-0.0191,103.360001
103.199997,103.360001,101.209999,101.620003,101.620003,7997200,-0.013600000000000001,102.849998
102.589996,102.849998,100.010002,100.769997,100.769997,11294400,-0.0084,100.18
99.279999,100.18,98.059998,99.58000200000001,99.58000200000001,17808000,-0.0118,100.139999
99.66999799999999,100.139999,96.019997,96.309998,96.309998,18260100,-0.032799999999999996,97.800003
96.089996,97.800003,95.519997,96.889999,96.889999,13327900,0.006,100.209999
98.300003,100.209999,97.589996,100.040001,100.040001,12105600,0.0325,103.860001
100.75,103.860001,100.32,103.290001,103.290001,15186900,0.0325,104.91999799999999
104.599998,104.91999799999999,103.099998,104.0,104.0,11433000,0.0069,105.199997
104.019997,105.199997,103.019997,103.110001,103.110001,9873800,-0.0086,105.129997
104.400002,105.129997,103.33000200000001,103.989998,103.989998,10664900,0.0085,103.57
102.889999,103.57,100.58000200000001,102.940002,102.940002,15659900,-0.0101,101.489998
100.300003,101.489998,97.790001,98.449997,98.449997,42144700,-0.0436,90.739998
90.529999,90.739998,87.360001,89.809998,89.809998,76561400,-0.08779999999999999,92.0
89.599998,92.0,88.110001,89.08000200000001,89.08000200000001,36806900,-0.008100000000000001,91.660004
91.129997,91.660004,88.610001,90.129997,90.129997,18865300,0.0118,91.650002
91.650002,91.650002,89.900002,90.610001,90.610001,13512300,0.0053,91.879997
90.989998,91.879997,89.480003,90.0,90.0,14643600,-0.0067,89.839996
89.58000200000001,89.839996,86.099998,87.0,87.0,28926200,-0.0333,87.400002
87.110001,87.400002,85.41999799999999,85.68,85.68,17632100,-0.0152,86.75
85.83000200000001,86.75,85.470001,86.0,86.0,12109500,0.0037,87.470001
87.010002,87.470001,86.519997,87.260002,87.260002,12043300,0.0147,87.699997
87.58000200000001,87.699997,85.82,86.0,86.0,12391900,-0.0144,88.300003
85.599998,88.300003,85.550003,87.099998,87.099998,15177800,0.0128,89.300003
88.199997,89.300003,87.650002,89.050003,89.050003,14665200,0.022400000000000003,88.989998
88.779999,88.989998,86.699997,86.849998,86.849998,15191700,-0.024700000000000003,87.43
87.099998,87.43,86.5,86.739998,86.739998,7422300,-0.0013,87.870003
86.809998,87.870003,86.709999,86.889999,86.889999,7604100,0.0017000000000000001,87.290001
87.25,87.290001,86.379997,86.639999,86.639999,7821700,-0.0029,86.68
86.510002,86.68,85.25,85.470001,85.470001,9367900,-0.013500000000000002,85.529999
85.529999,85.529999,83.879997,84.690002,84.690002,15846400,-0.0091,86.83000200000001
84.379997,86.83000200000001,84.360001,86.190002,86.190002,13645700,0.0177,87.160004
86.91999799999999,87.160004,85.199997,85.370003,85.370003,8763300,-0.0095,86.559998
85.949997,86.559998,85.0,85.120003,85.120003,8377200,-0.0029,85.019997
85.0,85.019997,83.75,84.0,84.0,11213400,-0.0132,83.25
82.949997,83.25,80.029999,81.58000200000001,81.58000200000001,39246100,-0.0288,85.82599599999999
80.269997,85.82599599999999,80.16999799999999,85.489998,85.489998,36607200,0.0479,86.269997
85.75,86.269997,84.010002,86.099998,86.099998,18514800,0.0070999999999999995,86.0
85.739998,86.0,84.050003,84.400002,84.400002,10673700,-0.0197,84.349998
84.349998,84.349998,81.480003,82.529999,82.529999,17616500,-0.0222,83.150002
81.089996,83.150002,80.650002,82.970001,82.970001,13817000,0.0053,83.379997
83.0,83.379997,81.190002,81.989998,81.989998,12768700,-0.0118,82.900002
82.099998,82.900002,81.529999,81.91999799999999,81.91999799999999,11232000,-0.0009,81.91999799999999
81.800003,81.91999799999999,80.769997,81.860001,81.860001,12663300,-0.0007000000000000001,85.199997
82.010002,85.199997,81.940002,84.0,84.0,16905700,0.026099999999999998,85.099998
84.010002,85.099998,83.510002,84.5,84.5,17639000,0.006,85.949997
83.870003,85.949997,83.300003,84.589996,84.589996,35663000,0.0011,87.040001
85.110001,87.040001,85.0,85.739998,85.739998,30454700,0.013600000000000001,86.800003
86.33000200000001,86.800003,85.089996,85.199997,85.199997,21181500,-0.0063,85.529999
85.25,85.529999,84.209999,84.25,84.25,11184000,-0.011200000000000002,84.5
84.349998,84.5,82.389999,83.629997,83.629997,14545100,-0.0074,84.480003
83.940002,84.480003,82.66999799999999,83.75,83.75,13507200,0.0014000000000000002,84.995003
83.199997,84.995003,82.959999,84.16999799999999,84.16999799999999,12208000,0.005,85.150002
84.779999,85.150002,83.339996,84.58000200000001,84.58000200000001,9703800,0.0049,85.150002
85.029999,85.150002,83.75,83.900002,83.900002,10020500,-0.008,84.449997
83.639999,84.449997,83.199997,83.239998,83.239998,11812900,-0.0079,83.720001
83.370003,83.720001,82.18,82.360001,82.360001,14896400,-0.0106,83.0
82.879997,83.0,81.25,82.279999,82.279999,19868200,-0.001,82.589996
82.050003,82.589996,81.613998,81.82,81.82,12810500,-0.005600000000000001,82.949997
81.940002,82.949997,81.879997,82.209999,82.209999,9443000,0.0048,85.540001
83.300003,85.540001,83.066002,85.389999,85.389999,26161500,0.0387,87.690002
87.029999,87.690002,85.199997,86.139999,86.139999,27800400,0.0088,86.690002
86.68,86.690002,84.150002,84.58000200000001,84.58000200000001,18300300,-0.0181,85.709999
85.160004,85.709999,83.82,84.279999,84.279999,15797100,-0.0034999999999999996,85.129997
84.629997,85.129997,83.529999,85.0,85.0,11819000,0.0085,85.360001
85.08000200000001,85.360001,84.160004,84.66999799999999,84.66999799999999,12225800,-0.0039000000000000003,85.400002
85.150002,85.400002,83.889999,84.059998,84.059998,12048600,-0.0072,83.25
83.08000200000001,83.25,81.610001,81.900002,81.900002,22791800,-0.025699999999999997,82.690002
82.25,82.690002,81.519997,82.199997,82.199997,13471000,0.0037,82.91999799999999
82.860001,82.91999799999999,82.139999,82.41999799999999,82.41999799999999,10056000,0.0027,82.839996
82.779999,82.839996,81.519997,82.050003,82.050003,13316900,-0.0045000000000000005,82.75
81.879997,82.75,81.620003,82.279999,82.279999,11483300,0.0028000000000000004,84.989998
82.879997,84.989998,82.800003,84.57,84.57,21058400,0.0278,86.269997
85.529999,86.269997,84.650002,84.900002,84.900002,17434200,0.0039000000000000003,85.57
85.540001,85.57,83.82,85.08000200000001,85.08000200000001,11110500,0.0021,84.400002
84.059998,84.400002,81.639999,82.449997,82.449997,21098000,-0.030899999999999997,82.650002
82.220001,82.650002,80.440002,81.290001,81.290001,14209700,-0.0141,82.25
